frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
582,19.4,2,587.1,112.2,0.963,0.802,0.434,0.952,0.869,0.97,0.903,21.0,587.7,103.9,10.5,shoulders*0.5,-0.0534,ok,0.3,center,center,False,0,2,False,0.0
582,19.4,3,539.1,69.8,0.788,0.919,0.062,0.817,0.194,0.948,0.908,16.4,539.1,69.8,8.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
582,19.4,5,512.9,206.4,0.663,0.92,0.131,0.733,0.111,0.985,0.892,67.7,512.9,206.4,33.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
583,19.43,1,592.6,438.9,0.428,0.975,0.08,0.585,0.017,0.998,0.939,69.3,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
583,19.43,2,587.1,112.2,0.963,0.802,0.434,0.952,0.869,0.97,0.903,21.0,587.7,103.9,10.5,shoulders*0.5,-0.0534,ok,0.3,center,center,False,0,2,False,0.0
583,19.43,3,539.1,69.8,0.788,0.919,0.062,0.817,0.194,0.948,0.908,16.4,539.1,69.8,8.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
583,19.43,5,512.9,206.4,0.663,0.92,0.131,0.733,0.111,0.985,0.892,67.7,512.9,206.4,33.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
584,19.47,1,592.6,438.9,0.428,0.975,0.08,0.585,0.017,0.998,0.939,69.3,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
584,19.47,2,587.1,112.2,0.963,0.802,0.434,0.952,0.869,0.97,0.903,21.0,587.7,103.9,10.5,shoulders*0.5,-0.0534,ok,0.3,center,center,False,0,2,False,0.0
584,19.47,3,539.1,69.8,0.788,0.919,0.062,0.817,0.194,0.948,0.908,16.4,539.1,69.8,8.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
584,19.47,5,512.9,206.4,0.663,0.92,0.131,0.733,0.111,0.985,0.892,67.7,512.9,206.4,33.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
585,19.5,1,592.2,439.2,0.445,0.974,0.08,0.596,0.019,0.998,0.939,69.1,,,34.5,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
585,19.5,2,587.0,113.9,0.966,0.812,0.422,0.957,0.878,0.97,0.895,20.5,587.6,105.5,10.3,shoulders*0.5,-0.063,ok,0.3,center,center,False,0,2,False,0.0
585,19.5,3,537.0,69.5,0.861,0.929,0.061,0.883,0.278,0.955,0.918,12.6,537.0,69.5,6.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
585,19.5,5,513.4,207.3,0.668,0.927,0.128,0.743,0.109,0.986,0.888,74.7,513.4,207.3,37.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
