frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
8,1.1429,7,462.66,148.12,591.52,428.52,0.65,539.14,206.38,0.7975,547.08,201.77,0.849,546.37,195.01,0.0875,572.02,211.64,0.9305,580.12,193.26,0.0634,576.63,252.72,0.9912,603.57,226.76,0.9483,510.51,298.49,0.9906,531.16,284.48,0.8046,429.74,263.5,0.9479,430.49,262.41,0.7144,613.85,378.1,0.8677,634.41,363.25,0.7413,583.46,463.28,0.5524,608.13,436.44,0.3006,618.31,530.46,0.1191,631.89,505.94,0.1073
9,1.2857,1,519.08,330.68,740.2,874.83,0.9068,560.6,411.04,0.4543,563.78,402.09,0.5599,570.51,398.05,0.0436,587.66,406.66,0.91,622.79,392.95,0.2272,596.93,488.22,0.9986,679.45,444.86,0.9846,601.44,598.77,0.9954,692.64,502.48,0.3854,552.3,589.48,0.9751,593.78,479.02,0.1224,642.71,640.54,0.9962,701.34,619.06,0.9893,669.02,739.95,0.9851,702.12,698.15,0.9777,706.71,830.16,0.9321,721.8,793.04,0.9617
9,1.2857,2,659.94,83.97,815.65,596.62,0.8969,667.97,145.66,0.7106,673.82,138.21,0.818,676.66,135.92,0.1568,700.53,147.19,0.9635,722.08,138.14,0.2767,690.71,212.35,0.9989,771.52,192.82,0.9852,689.17,303.14,0.9958,803.41,268.73,0.3798,686.55,375.03,0.9787,773.94,320.82,0.1459,725.23,366.0,0.9958,779.91,357.88,0.9889,738.2,463.06,0.988,787.64,458.37,0.9812,759.37,544.62,0.9738,788.46,552.55,0.9671
10,1.4286,1,518.5,329.69,740.99,875.34,0.9137,557.32,419.42,0.3045,557.81,410.14,0.3912,566.98,404.89,0.0148,580.0,409.77,0.8988,621.72,394.17,0.1696,605.05,491.54,0.9985,676.57,438.07,0.9876,599.08,600.59,0.9952,657.71,474.83,0.7606,550.84,588.19,0.9863,568.49,451.85,0.5958,644.65,644.22,0.996,700.79,619.81,0.992,669.7,744.39,0.9854,700.3,703.36,0.9854,704.99,830.44,0.8983,721.35,795.84,0.9499
10,1.4286,2,655.51,81.9,810.82,594.4,0.8966,664.45,146.85,0.2846,666.99,138.8,0.3785,672.51,135.89,0.0479,688.25,142.54,0.9266,717.66,133.45,0.4236,685.47,207.17,0.9987,766.86,186.95,0.9834,684.06,300.03,0.9952,799.2,264.36,0.3942,679.15,372.14,0.9742,774.0,314.38,0.1511,719.09,360.74,0.9957,773.7,351.8,0.9893,738.57,459.55,0.9884,779.45,452.53,0.9836,759.97,544.08,0.9698,786.7,549.71,0.9668
10,1.4286,7,421.63,161.52,539.61,396.49,0.5679,512.94,217.6,0.708,518.09,213.06,0.7738,522.88,206.87,0.039,538.56,220.85,0.8912,567.45,204.44,0.0528,528.88,257.69,0.9893,591.75,235.31,0.9268,471.62,286.19,0.9936,531.11,275.44,0.4889,396.74,241.55,0.9766,418.19,242.64,0.4006,525.15,381.64,0.8858,574.99,368.3,0.7409,503.85,487.6,0.3497,535.73,476.55,0.1517,510.33,556.09,0.0439,536.92,543.03,0.0308
11,1.5714,1,518.19,327.54,742.41,875.82,0.9152,556.63,422.19,0.1784,555.46,412.91,0.2707,567.36,407.52,0.0084,575.94,411.92,0.8892,625.22,396.14,0.1918,606.51,491.37,0.9987,679.69,439.29,0.984,599.2,601.73,0.9955,666.27,491.1,0.7307,550.44,586.85,0.9867,577.52,474.76,0.619,643.94,644.76,0.9963,701.65,619.07,0.992,669.66,745.01,0.9867,700.31,699.78,0.987,705.81,833.11,0.899,722.31,790.78,0.9574
11,1.5714,2,648.55,81.87,802.26,587.51,0.898,655.77,145.27,0.1086,656.44,137.77,0.1648,664.2,134.23,0.0214,673.85,140.58,0.8959,708.55,130.06,0.4785,675.8,204.49,0.9989,757.94,179.75,0.9803,674.71,296.89,0.9947,784.85,259.25,0.3156,672.97,366.51,0.9548,749.16,317.87,0.0882,715.0,351.09,0.9961,768.92,339.43,0.9888,737.07,454.06,0.989,774.31,442.41,0.9837,758.15,542.67,0.9698,784.99,539.5,0.969
11,1.5714,5,548.46,68.22,662.58,279.34,0.49,574.57,112.68,0.6463,577.51,106.86,0.7594,578.3,106.0,0.0602,590.27,109.05,0.9366,602.01,105.3,0.0525,603.27,150.83,0.9926,614.3,138.22,0.9248,597.04,211.88,0.9149,598.13,186.64,0.4999,560.42,187.0,0.73,565.68,160.86,0.5602,607.67,248.24,0.8078,618.75,239.17,0.6541,596.73,307.01,0.2143,609.3,289.66,0.1429,611.7,350.1,0.0392,616.38,333.63,0.0397
12,1.7143,1,520.74,333.5,742.76,874.86,0.9131,556.04,424.59,0.3488,557.26,415.11,0.4696,565.64,409.82,0.0173,583.21,414.11,0.9082,621.89,398.55,0.1658,603.87,490.01,0.9988,682.8,444.36,0.9774,602.07,602.72,0.9962,692.93,531.06,0.4543,551.35,586.1,0.9835,596.48,540.89,0.3114,644.15,645.6,0.9953,704.3,621.11,0.9874,670.86,745.01,0.9843,703.76,700.47,0.9794,707.03,831.68,0.923,721.89,791.33,0.9613
12,1.7143,2,645.25,80.26,792.32,557.37,0.9059,654.28,140.53,0.061,653.93,133.26,0.1043,663.38,130.26,0.0158,667.75,136.21,0.8898,706.94,127.3,0.4995,666.32,197.15,0.9986,752.49,176.52,0.9818,660.12,283.67,0.9918,775.51,250.91,0.3761,659.68,345.81,0.9479,741.68,301.37,0.1179,702.77,339.88,0.9975,758.99,327.72,0.9928,729.11,437.84,0.9915,770.56,414.69,0.9866,753.05,520.65,0.9729,783.54,495.75,0.9784
12,1.7143,9,311.84,165.91,613.36,380.52,0.4558,505.58,224.88,0.6527,509.92,219.54,0.7196,513.39,214.6,0.0268,528.05,225.92,0.9253,551.51,212.74,0.0441,530.37,263.97,0.9926,563.81,244.09,0.9409,463.16,285.07,0.9915,486.36,274.55,0.7459,389.33,242.03,0.9661,393.91,242.37,0.7388,529.03,390.09,0.8148,555.46,377.16,0.6527,508.67,498.61,0.2741,523.17,485.57,0.1517,514.26,569.19,0.0341,527.21,557.32,0.0298
12,1.7143,5,548.78,72.76,654.81,271.91,0.5321,573.58,114.83,0.6809,576.1,108.34,0.7825,576.72,107.71,0.0661,589.69,109.04,0.9401,600.58,106.1,0.0472,605.17,153.36,0.9893,613.01,137.25,0.9312,595.88,217.4,0.8752,594.54,186.23,0.5549,555.29,195.61,0.6855,565.14,167.02,0.6316,602.91,255.97,0.6617,613.17,244.71,0.5305,581.69,305.19,0.0941,595.48,287.33,0.0729,596.49,342.76,0.0241,603.82,327.07,0.0258
